protocol,action_type,call_block_time,block_number,call_tx_hash,symbol,user,dai_unint
maker,join_dai_dsr,2020/02/26 22:17:37,9.561808e+06,23698a761b3ed42f9a343daac583fd55ef5367a3ff80890ffbbc78b85d8c953b,DAI,f11db27da72c48d9b06885cfe7bcc817ac9a0287,2074.32
maker,join_dai_dsr,2020/02/26 22:18:13,9.561811e+06,30aa179be6e94ea8522d9a01b80524ef51048fb2c0e9013b12016546b6288683,DAI,f086960765b4ccbb5fb268ccc11bcc1cea575915,80
maker,join_dai_dsr,2020/02/26 22:41:32,9.561915e+06,8bb5faa3551a84dd367b6fac0e934c927ed4087118707f1b5523bebcab523224,DAI,68189a249b128b91333950d79d87265223000b14,20
maker,join_dai_dsr,2020/02/26 22:57:49,9.561996e+06,3d2b0dcf23dc54d5fcbb703a06831a0baabca8adcf8dcfe9d033c9e6f2e8d2cb,DAI,302e7ea58bcb5f13c0eaf7ce3675b4fa5c7cb1bc,157
maker,join_dai_dsr,2020/02/26 23:05:36,9.562024e+06,78f94cfed4a14b9c215d0bed0d1ebeacc1d77d39b5efa41e2080e98a7aee6d82,DAI,0b2b23e92b93e4b3602837464b4d8e8c489c58fa,64420.93151967791
maker,join_dai_dsr,2020/02/26 23:09:58,9.562037e+06,3ed578123d0fb0879a8bf210e8f9863f474d1dc6eefa8c29d5cfe640fdcddded,DAI,70265950add51748aa041de8accce6747507adce,8439.94003587765
maker,join_dai_dsr,2020/02/26 23:11:05,9.562045e+06,7d276e6e32fbe809f6824ec09496b766b0a5dc3b22725a88d209224a929920ec,DAI,fbce6eb2b2efc86ca856396542ef887ee7f6a163,101128.5999496243
maker,join_dai_dsr,2020/02/26 23:18:27,9.562088e+06,629ae5e6f89249d499679fef477770aac72b5456c88023b352ae60946be40430,DAI,bd77c784614e95bff7c1511aa8f4c46a2d19f134,250
maker,join_dai_dsr,2020/02/26 23:26:42,9.562124e+06,590249bbb613f8f0aa7f00045c13320b5dd03ada755d9ece730bdad03b703076,DAI,ace3fd2614b0cc9a512cf70b14568bd095827f5f,36679.33982326954
maker,join_dai_dsr,2020/02/26 23:55:32,9.56224e+06,3aae602610c90f3a3e6c8cc30e62630af2eb22daaeb7d1fadf6e4d7e9464c8df,DAI,aa679e4ee126f49c4c7e06bffae0f64562e74deb,44427.56528500357
maker,join_dai_dsr,2020/02/27 00:17:00,9.56233e+06,2e1d5cd54cbd01cfd24ff374e1df606b0edd39243a0d68cab985b78e023c68d8,DAI,dd7b139494ff5fca0e4d5a7cd2ff8704bf9a7aeb,2066
maker,join_dai_dsr,2020/02/27 00:28:39,9.56238e+06,300150375b2e6375bc71d6ff2a68af089e63f53dd4ef76bc507259bb27a1ec44,DAI,524fa6c0bad455a537ebcd8ffe38033b495d99e4,5
maker,join_dai_dsr,2020/02/27 00:31:25,9.562393e+06,13005cc5cdc7bbece540493aed34efbf25aa391a5b72ca61b177b0028c65e869,DAI,a7f47d14f781c3768ef69060ee458b711650a42c,350
maker,join_dai_dsr,2020/02/27 00:31:51,9.562399e+06,ffe90857574a3bfc5102b0d8707776caea3f55e783787ca806ce6a13ed38abcd,DAI,9c23492e5e2af04f6deb4fb04dc5ebb027e18966,9.61
maker,join_dai_dsr,2020/02/27 00:49:32,9.562497e+06,9ccaaa76f807569229cd40de0f1ae74416bdd43f09d700544f3c22d2e4145c0a,DAI,d3f7b6c78e87befcd36b7d67bc71202b3d342db7,15560.928039159207
maker,join_dai_dsr,2020/02/27 00:53:45,9.562526e+06,63bbbdcecd3df220448f0170ba603604c399f5a3d741e639d5e7b5ed8c1f8757,DAI,68189a249b128b91333950d79d87265223000b14,51.6
maker,join_dai_dsr,2020/02/27 00:54:31,9.562527e+06,a35ba8716f819af7fde6abaadcf1fa8fcefcdfea3f5706fb18c414e8b4bcb8fa,DAI,524fa6c0bad455a537ebcd8ffe38033b495d99e4,102
maker,join_dai_dsr,2020/02/27 00:59:37,9.56255e+06,2810515b8e1735d157f858095133292cedf150faeaa0bd1bfec856729eb30848,DAI,19f3fff047af51e4cc5abeca4dded6ff001ec64b,44740.92431365505
maker,join_dai_dsr,2020/02/27 01:26:53,9.562684e+06,0ffa4d7dceb5d679be8473568390f3e701b562e5a5e3ef0e358d2b96ce24ddc3,DAI,19f3fff047af51e4cc5abeca4dded6ff001ec64b,31312.638096002516
maker,join_dai_dsr,2020/02/27 01:31:57,9.562704e+06,6e74cc5f8f86df7918526627c15335c16aa286486a492a8b3ae18e112a50506f,DAI,fab7139acdca412ac55295662e88105d22f4f3d8,13761.98637178356
maker,join_dai_dsr,2020/02/27 01:40:29,9.562747e+06,c4ce5bae679374b9d37b280789fecb26195c46dd49c096ca4e4271a4359bde23,DAI,a0e43bf281a6136e1b66a3c2bd9b9391b82237d4,10
maker,join_dai_dsr,2020/02/27 01:41:01,9.56275e+06,e22ebc379e1cbb881f4c6e754c28ac38ff584731e2c88583563e2afb17c4d311,DAI,eb995b3c69ffe15170b159fc079a3cc6cc85d576,3408
maker,join_dai_dsr,2020/02/27 01:41:01,9.56275e+06,05c0b90e9092576336c82fb1f991ba6224a7bb131ab0ef434c1b6b8763150618,DAI,05c111014a6fafca2714cee52e7f3a6c1c246073,1004.000004010206
maker,join_dai_dsr,2020/02/27 01:48:29,9.562789e+06,f84b3df51f712a0bb2af30d6b2e55bdd807240582d0110be14f15997b61a9556,DAI,876872c430f7926083b3654caadf9f52d37ab3cb,2
maker,join_dai_dsr,2020/02/27 01:54:30,9.562819e+06,88b81019ef710d3a97ac7d7dce867323345245ca3638549cfea5fc8f9fb59125,DAI,4b5160ab8efec1742f20a74428e08790cbc90a48,579.4213478
maker,join_dai_dsr,2020/02/27 01:55:14,9.562824e+06,1e2c05ead66c890815280c08bcf31902bced15fc1ddecffd7b68854cd205c2bf,DAI,698754d22bb3daf2f1c01334303b69a3eb7fedf8,20
maker,join_dai_dsr,2020/02/27 01:58:50,9.562838e+06,acbffa2a51db132c66554da0564e514541d712c24408e0b59764f0d32e3f0e9a,DAI,a4da0f347c6abe0e8bc71b5981fd92b364eda4c2,72412.90077302331
maker,join_dai_dsr,2020/02/27 02:11:14,9.562882e+06,2a08610078f1d3974553ba3bd08bd2e469fe5405d09f738142b6f80c41e1d7f5,DAI,d81e18a83e22d8e32717ae8d1e432827ee57e7b8,11.12790963464752
maker,join_dai_dsr,2020/02/27 02:13:47,9.562891e+06,8cd6c652ffc2ca70406237618d9633e0515db5f4cb7f2da6288ca2e0bc8c7aa5,DAI,59857f533c71c3a67f36d0b95b811ee32c1a3aba,50
maker,join_dai_dsr,2020/02/27 02:20:29,9.562918e+06,3d58a8c0b5e56739e94fc857017afc3c6c2b344ab168e1793223547cf9b1958d,DAI,0fe6a0d38729129dc89260e4b830c866c3de0eec,131.3530236919677
maker,join_dai_dsr,2020/02/27 02:44:10,9.563031e+06,a8be85647d0045db03279e9ed376145261818f72797ee882ad6aa9d9d9737dda,DAI,aae697f9bfea16b2010cdcd06e1fb7d46d6b8986,10097.314176464632
maker,join_dai_dsr,2020/02/27 02:45:31,9.563043e+06,19fc234e5d2dd2474166de9451da123f8b592890009c67aae22036ab5ac8c238,DAI,09ceeb3e7e8583628b8eed08430e31b0549b3962,20
maker,join_dai_dsr,2020/02/27 02:47:16,9.563052e+06,d2384a770d77b293bffe8d59d926e0f282b5ba547279e59c98aa00888f5c986a,DAI,698754d22bb3daf2f1c01334303b69a3eb7fedf8,2336.192325029923
maker,join_dai_dsr,2020/02/27 02:49:31,9.563062e+06,5f318b8a1a768ba10b2d6b06c811dcf378c130551f03d1fa31fe9f5e3211c4a9,DAI,a45dc434b1a79013cfb2e6f052a58b04ec504516,4.3124
maker,join_dai_dsr,2020/02/27 02:58:42,9.563099e+06,2cdaaaebb81536d616ceabc5e7da7c2f563d07261842609dfc4c2a1a274073b5,DAI,ca9859149a26a5f697ceb9c757a1560d593a818d,50
maker,join_dai_dsr,2020/02/27 03:01:43,9.563114e+06,74d43042df73b93fdf68840184863ef83852dea4b811796747de75b19c991fa9,DAI,698754d22bb3daf2f1c01334303b69a3eb7fedf8,85.784140484
maker,join_dai_dsr,2020/02/27 03:13:35,9.563168e+06,0bf4e63a3db1101e3e736c71342853911bc8c25cd136d889ce880b0dd1d7b612,DAI,eddf4a474bea02ac6184b445953bbe0d98effbbf,14.513758577210078
maker,join_dai_dsr,2020/02/27 03:32:29,9.563249e+06,1850da3ca1b639b9708671cbcda3df81ac0344c29d1a65c04ebca2bd3e3ba822,DAI,5524bd47440d7ccaedfbbc8f39d598de582d5866,215.3
maker,join_dai_dsr,2020/02/27 03:35:38,9.563262e+06,a3f23c8bcd3135e84275ca5bf4267b2d05c61a251bd089438d1688b04dbbc6a3,DAI,ba3a6b9c43e74de388550e9bcc73a81a01d48cf7,6419.119251422832
maker,join_dai_dsr,2020/02/27 03:39:13,9.56327e+06,0a103bee1b2684042e6f58b9210597fe1a7c502473939f60a9bcd9fe06b7df86,DAI,beb5a64793ec486b080063d3b662f2131fac0f52,83.75124952331103
maker,join_dai_dsr,2020/02/27 03:42:43,9.563286e+06,53bdc6af9a52324a778c88900066a19db998286c04929af7c05164f839d10d14,DAI,0e0ec712b3912b5601216455a158cf18152cb62a,20830.591774509103
maker,join_dai_dsr,2020/02/27 03:49:48,9.563327e+06,3dd324f2e5ffec503112a59ceaaac20038b177121556c569cb40cae61d0b98c5,DAI,fc9f2307c71bbb156de2037c21f02ace68d1b9f2,2945.3716588928264
maker,join_dai_dsr,2020/02/27 04:12:26,9.563431e+06,d6d7adc80100f58bfd5c5b7189eb019de42bb34f24ed91e48a7581788186c7b2,DAI,d4eddcef8643be102338e1d967d2516bd8904fef,5437.9690693475395
maker,join_dai_dsr,2020/02/27 04:18:55,9.563463e+06,07310e1543057599db7b90cb88525c589d2816831ed1a80cfdc6a5291391cb8e,DAI,ed5bd364c808d9c501df57ee2df6a52aea33babb,54.275
maker,join_dai_dsr,2020/02/27 04:18:55,9.563463e+06,94bdf3131fdb37023e912c36a044ac370a815da3e3700c8315b76701728a3a24,DAI,1d7a9bfe89a83e89bb70411ad851c49997183659,100
maker,join_dai_dsr,2020/02/27 04:20:46,9.563475e+06,7654e931fbffae4c7eb383a2f2cde841d677995a9c54f46173ba7a9dc5e0fed8,DAI,571bf7194ffb46a2c529dc894153b4415f35fd6b,184.72264553028643
maker,join_dai_dsr,2020/02/27 04:25:39,9.563494e+06,39893b2f42cdcc1cbbccccdb22cdb25083888282f9bc8f0142ac6f6c25a568b4,DAI,1a95e17962d50905f017864c2d7c83e3d4651a1b,1835.5783868449132
maker,join_dai_dsr,2020/02/27 04:26:42,9.563497e+06,6dd3c3b3599d59cb6d7c6cf27ca28cdc0095f0d8f0ef1799501a7ae3a95745e4,DAI,12a6d66c818b48c0705e73d0d12efa71fca1bf8a,6742.060681
maker,join_dai_dsr,2020/02/27 04:29:32,9.563505e+06,c682f1d308f61e06ce99e1cd36da7c0d4c748a69b19705e31e4af3db2e2b3371,DAI,d02425107bf28a583c17589398274e9f5e02e552,36674.39255581668
maker,join_dai_dsr,2020/02/27 04:39:12,9.56355e+06,5464ba3c9fd9edbc38c14aba16941e54b5939ec6928fac9478bdb14e22ea57db,DAI,188c0867a4e66a4da97e3368ad534ae9dc17ca71,50
maker,join_dai_dsr,2020/02/27 04:48:27,9.563588e+06,da22548570e7f5020b7994a758df46db833e94f20e00f4055bcdc97bf09b2bae,DAI,8cdbdb4a43cafa26211f02263821ca9a0332d76f,5899.22000001
maker,join_dai_dsr,2020/02/27 04:48:55,9.56359e+06,a271cad17b1d403c5616182dc7a4688aab23bfaf9ef9af12b2b748b2d26ea39f,DAI,1532566504598aa81615d4bd6a15a266288a7080,10.01435652730288
maker,join_dai_dsr,2020/02/27 05:01:48,9.563637e+06,01a9f90f629317cd4470874fc4410bf9cc787be7381e2e4f6d86467499ea0c67,DAI,1a91f67029506cad8d90aa8d0cf92728c002f87d,1
maker,join_dai_dsr,2020/02/27 05:10:26,9.563679e+06,d9e865da140aab54c2a6104250f6ac8c1aa735f945699c649357ca947cc281e8,DAI,54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6,20
maker,join_dai_dsr,2020/02/27 05:12:56,9.563689e+06,d33cce01afa815f81d680007360840471eaa786e37a89e5a27af4065267f8991,DAI,87352af26805176272dd48a865e0dcd31151aa22,1100.66499
maker,join_dai_dsr,2020/02/27 05:30:09,9.56377e+06,ae04485a8a8d968ed27e485a6fff564f1b899920bc5db6015a446afffdacda75,DAI,8cdbdb4a43cafa26211f02263821ca9a0332d76f,218.00804788586956
maker,join_dai_dsr,2020/02/27 05:33:43,9.563784e+06,d10574b8da25451befe426f6c7a33cfb214c408f089060b4e380f4080de7976e,DAI,dd7b139494ff5fca0e4d5a7cd2ff8704bf9a7aeb,2611
maker,join_dai_dsr,2020/02/27 05:34:29,9.563788e+06,ad4ec84b0c972dbdb030ec3d3f3ffe6ee37a42ec4ced889ada213587b8f2e2c1,DAI,4e880933aaa461a5fbd0d499f1e142d78f77c8ea,492.99601
maker,join_dai_dsr,2020/02/27 06:28:31,9.564053e+06,490cd48ea065077a6fcb861da383417fb53e48c1487fc0b3dc2e7129156c1f33,DAI,19f3fff047af51e4cc5abeca4dded6ff001ec64b,39151.386500733024
maker,join_dai_dsr,2020/02/27 06:28:40,9.564054e+06,75e2404de73f2727b8a2e00488d7362b6ed4a729ce7d2617bff0dbe890914919,DAI,464b23fc92cc0a69a62ccadce2e0c4615c1c2884,224.89968311748083
maker,join_dai_dsr,2020/02/27 06:38:05,9.564102e+06,f4d9d7681966f72c2dd556871be1fefdaabf4ad4a2b9b2eeb80ef091ca8dc2cc,DAI,73cf3c067ec221ce9a963986983ff49d7ca036c7,97.52417353606758
maker,join_dai_dsr,2020/02/27 06:44:53,9.564133e+06,1f14cd43989ee1e7df31059295e9689b54577a214c39ebb695ee9895d467dbf6,DAI,54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6,11
maker,join_dai_dsr,2020/02/27 06:54:10,9.564182e+06,c15970a9758a328935c91e7b9004f196c1faa884241f222d9a240e8ab22573ca,DAI,11afce64a76e7fe8afa0e78c15db16728436464a,553.6455029314828
maker,join_dai_dsr,2020/02/27 06:56:10,9.564196e+06,554b54dc59a7aabe8cef93660db992cb3b7352f46b93a53b79f7c7efbc2104c1,DAI,bd00f0b0ee1c1bc83b417a40ce09e6a4b9c1f9ba,88.51772108052178
maker,join_dai_dsr,2020/02/27 07:38:58,9.564378e+06,e6646ec1483674cd7411a1bf669c2c54f66656c77da245f11769dd3418fe72e6,DAI,28e73bb0e8ed9d515dd5931aaf0da2db06c1b4c6,24.5
maker,join_dai_dsr,2020/02/27 08:01:54,9.564492e+06,0f9931be0ce7ad46ad27cabe08a1963427111766d1109668c4af7ea016584765,DAI,0a5fdc90b0a6c2fdada1970558ca2be345b97ee3,10
maker,join_dai_dsr,2020/02/27 08:04:24,9.564504e+06,b103f0cdbd4deddbeb4f3343aae631aea9313238b0fd3a17a2d6eff2ab38257e,DAI,04c66ab418ba04bb33172ec95b2556c1ccc8d2c7,23.01186582
maker,join_dai_dsr,2020/02/27 08:13:45,9.564547e+06,785fcc9847f01562392e1d6b592472fece10700318bfa9bc1f35e2f68d329cd8,DAI,89b123c237c89ab9e008bdfa7fae33970702a2bd,16000.16
maker,join_dai_dsr,2020/02/27 08:19:48,9.564574e+06,92e3f94752b233899c640f15ae63007a7f16de4f26b9ef796a86bb128e8f1e45,DAI,d127a8ec34d709cd292b0f7c3fffb18c8e73fab8,5668.357190395906
maker,join_dai_dsr,2020/02/27 08:25:07,9.564593e+06,6f78b1ca2cb680e54aa0555303b542ef5a668da6731d593759637390c763640d,DAI,d50d555089768ebd1fe1eacc3b550113b4b86c87,11334.99377747
maker,join_dai_dsr,2020/02/27 08:30:04,9.564619e+06,f35deea626719cdf1789f6344de9760f97e71f2d32d3e7de6290464f522b0141,DAI,c2d4a571a7343542d9c8c7f3fc8c93aa4464ebae,21.39852067
maker,join_dai_dsr,2020/02/27 08:39:48,9.56466e+06,addd36b78913191b432695be9287c2770e4a7d9f0622c20d23c5d44c6a54a584,DAI,61493b7b238732408399816dad81af454e5ab709,40000
maker,join_dai_dsr,2020/02/27 08:43:19,9.564682e+06,1460377e69149a32172b66c896d0636d4f357d790ee0364144fe47d314d12ea6,DAI,4c127dac2e18a8fc69e9fd8fdcace225361606b1,10414.588428084304
maker,join_dai_dsr,2020/02/27 08:48:24,9.564699e+06,888b38df6b0e182ef91a4d85486593a7b11a6dad2aef6fe14bed2d2655ff0c48,DAI,ec430d65a9c205e61e2979f4bbe9ef599aa21215,104625
maker,join_dai_dsr,2020/02/27 09:04:18,9.564787e+06,a6a54e51034bfbf2144ea56d7a40de36aaa6d6e87bf776e9eeb7d2821b805ace,DAI,876b71aa426fad5127910d3cc792e818b8229cf1,303.5601437692307
maker,join_dai_dsr,2020/02/27 09:21:54,9.564874e+06,a5c4b8251a453f1f6d1be6d98a55e62a08e1e10b1af7b794ebcdb0a4873c7394,DAI,66f52fd847ada7afddb3d4370c0fe0eb46dbd99c,10000
maker,join_dai_dsr,2020/02/27 09:22:44,9.564882e+06,18ebd161bd3b8650daef412943f157b1e35610d16af48703ed8e59f83b2e1845,DAI,760fd47cfd86b8e24e377b0256fb8c5b61b3860e,2553.3961221491186
maker,join_dai_dsr,2020/02/27 09:24:04,9.564888e+06,c85dc8ac49f4304b506274b395395cebcb4657db11b4b289ccc2cd64e69a59fe,DAI,5a4f9ba47c171942f5cd638b259a61f811e3e983,2269.1217649572795
maker,join_dai_dsr,2020/02/27 09:28:25,9.564902e+06,f1ed466e6d3111aaa01f40ec437b03bd00105d7b16904a0fe868203984514846,DAI,d61054f4456d0555dc2dd82b77f7ad6074836149,0.5
maker,join_dai_dsr,2020/02/27 09:30:27,9.564914e+06,252ef45f62d897e1708db26a2e77cfb30bd79c53d6e5f4a11ee99b0760edc4b8,DAI,5fe1eddb81a6e2ad3c10391c74c4f3e55c30f6f9,50.080235750866684
maker,join_dai_dsr,2020/02/27 09:33:19,9.564929e+06,92e75918fdf0ce2a6a2740c6ce2f02b88f06ec03ca59602e4bce52cc794e95f7,DAI,41e60e76ae3956e88ae538a567e14d5e76c50ea5,53.5
maker,join_dai_dsr,2020/02/27 09:46:01,9.564982e+06,f65b0d495c909b829520d37a042b211c82d5344ac0e6a4dd19cc2d85b02308fe,DAI,d93752b85f5732294826cf16dca96a426a0cca99,148.6902972604535
maker,join_dai_dsr,2020/02/27 09:46:42,9.564984e+06,b6bd7036d54668b096dc9270896cede3c267e3d5326ddb1b3bb9689b68e5323d,DAI,c72261da77c182cc46a18c0f1c3b633e1de1c4a9,5
maker,join_dai_dsr,2020/02/27 09:50:55,9.565005e+06,35bc26c72ed4180b04f8b32dc28b1ef9d26f2f5b9eeb49a5f5eb97f94271a9a0,DAI,1afde148a5435f476606a85ce1e34754b09c9ffb,30
maker,join_dai_dsr,2020/02/27 10:11:05,9.565089e+06,8787e85cf6b217bfff3f2eb0fdf6ab6225e93b1e59370cfae3721c0d2c245ced,DAI,20d2619478c250fb8645fbe24d26e7e67defd07e,1596.15037
maker,join_dai_dsr,2020/02/27 10:16:50,9.565121e+06,9435b54aed7f73a74db5bbca52b89301cc0e8b1d3a51743c3cadfc2a7d1ed241,DAI,3a302f8ac7dd45901fa25d388435a9de36accab6,1116.7138097016782
