protocol,action_type,kick_time,kick_block_number,kick_hash,debt_auction_id,kick_lot,evt_index,dent_time,dent_block_number,dent_hash,dent_lot,deal_time,deal_block_number,deal_hash
maker,debt_auction,2020/03/19 15:21:57,9.702888e+06,5782a78c772a178efd372d94dd8178c1948ce57b2c7abb833e2f6f4f64c8dcd1,7,250,179,2020/03/20 05:25:23,9.706653e+06,41c9eea3fa9c31ab72ca3d0c5cb2f16034a3142140c3037d4059736f10030c5a,188.67924528301887,2020/03/20 11:27:43,9.708296e+06,aa4232299a7993261e5a368cb5f21dd8e508bbf99dc3fc4ed9988446cff02e93
maker,debt_auction,2020/03/19 15:27:27,9.702913e+06,54297d05e528b9684c7ec2117846f32d2ec2f525a2eb75d28622c144db14a587,8,250,25,2020/03/19 15:27:27,9.702913e+06,54297d05e528b9684c7ec2117846f32d2ec2f525a2eb75d28622c144db14a587,242,2020/03/20 11:27:43,9.708296e+06,37cbb40a389cc336c75c43bc38657a3138f027d174adafa3d6dcf1adaa8b1b35
maker,debt_auction,2020/03/19 15:27:27,9.702913e+06,54297d05e528b9684c7ec2117846f32d2ec2f525a2eb75d28622c144db14a587,8,250,25,2020/03/19 17:25:08,9.703421e+06,5d5e0984676c9636d7283f7f2e1b4600a931d755777d1f334765331111e3c095,234.95145631067962,2020/03/20 11:27:43,9.708296e+06,37cbb40a389cc336c75c43bc38657a3138f027d174adafa3d6dcf1adaa8b1b35
maker,debt_auction,2020/03/19 15:27:27,9.702913e+06,54297d05e528b9684c7ec2117846f32d2ec2f525a2eb75d28622c144db14a587,8,250,25,2020/03/19 18:08:35,9.703619e+06,9f4df29993992ec79fac683f98391ef681b0788b1b50d754e8818fb8b5caa55a,222.22222222222223,2020/03/20 11:27:43,9.708296e+06,37cbb40a389cc336c75c43bc38657a3138f027d174adafa3d6dcf1adaa8b1b35
maker,debt_auction,2020/03/19 15:27:27,9.702913e+06,54297d05e528b9684c7ec2117846f32d2ec2f525a2eb75d28622c144db14a587,8,250,25,2020/03/19 23:13:51,9.70499e+06,9310302d40f126f9e5b6a6e429569b0a3532bb7ff490aa9e8ad61d4a499b1d0b,215.7497303128371,2020/03/20 11:27:43,9.708296e+06,37cbb40a389cc336c75c43bc38657a3138f027d174adafa3d6dcf1adaa8b1b35
maker,debt_auction,2020/03/19 15:27:27,9.702913e+06,54297d05e528b9684c7ec2117846f32d2ec2f525a2eb75d28622c144db14a587,8,250,25,2020/03/19 23:53:22,9.705192e+06,3ce699b45e1b3ef3ee0e3e5218a4373fbc25fb77f62b3dc26b2308ace97b6e3a,208.33333333333334,2020/03/20 11:27:43,9.708296e+06,37cbb40a389cc336c75c43bc38657a3138f027d174adafa3d6dcf1adaa8b1b35
maker,debt_auction,2020/03/19 15:27:27,9.702913e+06,54297d05e528b9684c7ec2117846f32d2ec2f525a2eb75d28622c144db14a587,8,250,25,2020/03/20 03:59:18,9.706244e+06,10f31d5c721f5ac8e55f73cd77859c047cb2ba9bd4a5bead2a470a6273b9d289,202.26537216828478,2020/03/20 11:27:43,9.708296e+06,37cbb40a389cc336c75c43bc38657a3138f027d174adafa3d6dcf1adaa8b1b35
maker,debt_auction,2020/03/19 15:27:27,9.702913e+06,54297d05e528b9684c7ec2117846f32d2ec2f525a2eb75d28622c144db14a587,8,250,25,2020/03/20 05:25:34,9.706654e+06,aafdff3e7262e3f7b41cd85686f9847b878ed4682a5ec2a446c56ac664608404,188.67924528301887,2020/03/20 11:27:43,9.708296e+06,37cbb40a389cc336c75c43bc38657a3138f027d174adafa3d6dcf1adaa8b1b35
maker,debt_auction,2020/03/19 15:34:08,9.702941e+06,ef51cb9d964e6b263a0d252678e0b8ea70e5658c1398822dbdaeec5f57c7f68b,9,250,64,2020/03/19 15:34:08,9.702941e+06,ef51cb9d964e6b263a0d252678e0b8ea70e5658c1398822dbdaeec5f57c7f68b,242,2020/03/20 11:27:43,9.708296e+06,00dd8cb851dbc46aff16229e705a9befabc78433adf00627ae42c9e318151ed1
maker,debt_auction,2020/03/19 15:34:08,9.702941e+06,ef51cb9d964e6b263a0d252678e0b8ea70e5658c1398822dbdaeec5f57c7f68b,9,250,64,2020/03/19 17:24:34,9.703417e+06,a3b171b19ea613e93fe3d0de4cc7590a778edc2e9ad042a766e8c9f4ada3e519,234.95145631067962,2020/03/20 11:27:43,9.708296e+06,00dd8cb851dbc46aff16229e705a9befabc78433adf00627ae42c9e318151ed1
