protocol,action_type,kick_time,kick_block,kick_evt_hash,surplus_auction_id,lot_unit_of_dai,tend_time,tend_block_number,bid_call_hash,bid_price_unit_of_mkr,deal_time,deal_block_number,deal_hash
maker,surplus,11/26/2021 13:35:52,1.3690048e+07,16df253e4238ea9cf8ed942c636e3b0cd85ecec38ea885d0efb1421dbd701478,1366,30000,11/26/2021 13:35:52,1.3690048e+07,16df253e4238ea9cf8ed942c636e3b0cd85ecec38ea885d0efb1421dbd701478,9.52886495353899,11/26/2021 22:19:11,1.3692353e+07,e120ca2ad145b3d1348a80a43f8e797505e381325df645f03243a7d40fba4151
maker,surplus,11/26/2021 13:36:48,1.369005e+07,f23ee3b921769bea6c7c7532563b02064edb5df95d25ca98999a6006c70da4c2,1367,30000,11/26/2021 13:36:48,1.369005e+07,f23ee3b921769bea6c7c7532563b02064edb5df95d25ca98999a6006c70da4c2,9.52314103170374,11/26/2021 22:19:11,1.3692353e+07,e120ca2ad145b3d1348a80a43f8e797505e381325df645f03243a7d40fba4151
maker,surplus,11/26/2021 13:37:50,1.3690054e+07,9f992d7487d7094952000119ae5fdbb9b83011800b0944b901724b251576facb,1368,30000,11/26/2021 13:37:50,1.3690054e+07,9f992d7487d7094952000119ae5fdbb9b83011800b0944b901724b251576facb,9.551740441482236,11/26/2021 14:08:58,1.3690195e+07,96d9e124889ef2727fe47804d0ec056ee0dc3b920a3e3cfb88fff45e307f3a7d
maker,surplus,11/26/2021 14:54:50,1.3690406e+07,49e2486426db121e6c10622a36a414f6856b2413532927934078b7c0cbf02edf,1369,30000,11/26/2021 15:24:06,1.3690562e+07,dc7466306b4f366c3a248fb09a03398688aa4afffe687b2d058293563d619bae,9.81803901034167,11/26/2021 22:19:11,1.3692353e+07,e120ca2ad145b3d1348a80a43f8e797505e381325df645f03243a7d40fba4151
maker,surplus,11/26/2021 14:54:50,1.3690406e+07,49e2486426db121e6c10622a36a414f6856b2413532927934078b7c0cbf02edf,1369,30000,11/26/2021 14:54:50,1.3690406e+07,49e2486426db121e6c10622a36a414f6856b2413532927934078b7c0cbf02edf,9.440330773818884,11/26/2021 22:19:11,1.3692353e+07,e120ca2ad145b3d1348a80a43f8e797505e381325df645f03243a7d40fba4151
maker,surplus,11/26/2021 16:41:08,1.3690885e+07,fd52a711bc8c6265f3d080c340a444e198622b3a23878027442570a27caab0fc,1370,30000,11/26/2021 16:41:08,1.3690885e+07,fd52a711bc8c6265f3d080c340a444e198622b3a23878027442570a27caab0fc,9.446991614706915,11/26/2021 17:11:16,1.3691027e+07,df69441e4effba5c3833c154b779d23014760fc336b8e251a59917fe50b5ed35
maker,surplus,11/26/2021 18:25:49,1.3691343e+07,0bd3a8fd5a855c34d1851903c00c5f25410a82304d5d4026566a2a0c8b24545f,1371,30000,11/26/2021 18:25:49,1.3691343e+07,0bd3a8fd5a855c34d1851903c00c5f25410a82304d5d4026566a2a0c8b24545f,9.365789545545864,11/26/2021 18:57:31,1.3691504e+07,a4ade1de62183606ee05d55cf2f7b2e45463cb699d940e46a019f3831f1d09d1
maker,surplus,11/26/2021 20:10:46,1.369181e+07,d58663afcbbd087da63c3c07fd7aa69b25bccc27c71f21b8133e009f406c3f38,1372,30000,11/26/2021 20:10:46,1.369181e+07,d58663afcbbd087da63c3c07fd7aa69b25bccc27c71f21b8133e009f406c3f38,9.274192147369849,11/26/2021 20:41:09,1.3691932e+07,b140d856db462e1db84f5a9de47e3f24889e345cc096833e24ded43084975c8d
maker,surplus,11/26/2021 21:22:52,1.3692101e+07,0dac1df54754f05397a7e8dda459eef4fabf6e270f8a492bb057203b0a9ea7ae,1373,30000,11/26/2021 21:22:52,1.3692101e+07,0dac1df54754f05397a7e8dda459eef4fabf6e270f8a492bb057203b0a9ea7ae,9.20892006828064,11/26/2021 22:19:11,1.3692353e+07,e120ca2ad145b3d1348a80a43f8e797505e381325df645f03243a7d40fba4151
maker,surplus,11/28/2021 02:46:12,1.3699799e+07,132746f2c256bea214cf576c2afdfde14bbf483514716097ec2c6d9355d02381,1374,30000,11/28/2021 02:46:12,1.3699799e+07,132746f2c256bea214cf576c2afdfde14bbf483514716097ec2c6d9355d02381,9.86758181206115,11/28/2021 07:16:55,1.3701022e+07,7cd76e7063aae56972737f5daee6cede41d3299c326fd9f3b0cbaba6cb3b6fa2
